"# servo_id=1 center=2049 amp_deg=15.0 cmd_hz=100.0 acc=None torque_limit=None note='leg servo 7.4V (control unit), no load, 7.5V/2.5A' hz=2.0 ratio=0.271 lag_ms=261.3 accel_est=8.800682881474655"
t_s,cmd_cnt,pos_cnt,speed_raw,load_duty_permille
0.0005,2050,2048,0,0
0.0016,2050,2048,0,0
0.0021,2050,2048,0,0
0.0026,2050,2048,0,0
0.0031,2050,2048,0,0
0.0035,2050,2048,0,0
0.0040,2050,2048,0,0
0.0044,2050,2048,0,0
0.0048,2050,2048,0,0
0.0053,2050,2048,0,0
0.0057,2050,2048,0,0
0.0061,2050,2048,0,0
0.0066,2050,2048,0,0
0.0070,2050,2048,0,0
0.0074,2050,2048,0,0
0.0078,2050,2048,0,0
0.0083,2050,2048,0,0
0.0087,2050,2048,0,0
0.0091,2050,2048,0,0
0.0096,2050,2048,0,0
0.0100,2070,2048,0,0
0.0108,2070,2048,0,0
0.0112,2070,2048,0,0
0.0117,2070,2048,0,0
0.0121,2070,2048,0,0
0.0126,2070,2048,0,0
0.0130,2070,2048,0,0
0.0134,2070,2048,0,0
0.0138,2070,2048,0,0
0.0143,2070,2048,0,0
0.0147,2070,2048,0,0
0.0151,2070,2048,0,0
0.0156,2070,2048,0,-24
0.0160,2070,2048,0,-24
0.0165,2070,2048,0,-24
0.0169,2070,2048,0,-24
0.0174,2070,2048,0,-24
0.0178,2070,2048,0,-24
0.0182,2070,2048,0,-24
0.0186,2070,2048,0,-24
0.0191,2070,2048,0,-24
0.0196,2070,2048,0,-28
0.0200,2091,2048,0,-28
0.0208,2091,2048,0,-28
0.0213,2091,2048,0,-28
0.0217,2091,2048,0,-28
0.0221,2091,2048,0,-28
0.0226,2091,2048,0,-28
0.0230,2091,2048,0,-28
0.0234,2091,2048,0,-28
0.0238,2091,2048,0,-28
0.0242,2091,2048,0,-36
0.0247,2091,2048,0,-36
0.0251,2091,2048,0,-36
0.0256,2091,2048,0,-36
0.0260,2091,2048,0,-36
0.0264,2091,2048,0,-36
0.0268,2091,2048,0,-36
0.0272,2091,2048,0,-36
0.0277,2091,2048,0,-36
0.0281,2091,2048,0,-36
0.0285,2091,2048,0,-36
0.0289,2091,2048,0,-36
0.0293,2091,2048,0,-36
0.0297,2091,2048,0,-36
0.0302,2112,2048,0,-44
0.0310,2112,2048,0,-44
0.0314,2112,2048,0,-44
0.0318,2112,2048,0,-44
0.0323,2112,2048,0,-44
0.0327,2112,2048,0,-44
0.0331,2112,2048,0,-44
0.0336,2112,2048,0,-44
0.0340,2112,2048,0,-44
0.0344,2112,2048,0,-44
0.0348,2112,2048,0,-44
0.0353,2112,2048,0,-44
0.0357,2112,2048,0,-44
0.0361,2112,2048,0,-44
0.0366,2112,2048,0,-52
0.0370,2112,2048,0,-52
0.0374,2112,2048,0,-52
0.0378,2112,2048,0,-52
0.0382,2112,2048,0,-52
0.0385,2112,2048,0,-52
0.0389,2112,2048,0,-52
0.0393,2112,2048,0,-60
0.0396,2112,2048,0,-60
0.0400,2131,2048,0,-60
0.0407,2131,2048,0,-60
0.0411,2131,2048,0,-60
0.0414,2131,2048,0,-68
0.0418,2131,2048,0,-68
0.0422,2131,2048,0,-68
0.0425,2131,2048,0,-68
0.0429,2131,2048,0,-68
0.0433,2131,2048,0,-68
0.0436,2131,2048,0,-68
0.0440,2131,2048,0,-68
0.0444,2131,2048,0,-68
0.0447,2131,2048,0,-68
0.0451,2131,2048,0,-68
0.0455,2131,2048,0,-76
0.0459,2131,2048,0,-76
0.0463,2131,2048,0,-76
0.0466,2131,2048,0,-76
0.0470,2131,2048,0,-76
0.0474,2131,2048,0,-76
0.0477,2131,2048,0,-76
0.0481,2131,2048,0,-76
0.0485,2131,2048,0,-76
0.0489,2131,2048,0,-76
0.0493,2131,2048,0,-84
0.0496,2131,2048,0,-84
0.0500,2131,2048,0,-84
0.0503,2150,2048,0,-84
0.0510,2150,2048,0,-84
0.0514,2150,2048,0,-84
0.0517,2150,2048,0,-84
0.0521,2150,2048,0,-84
0.0524,2150,2048,0,-84
0.0528,2150,2048,0,-84
0.0532,2150,2048,0,-92
0.0535,2150,2048,0,-92
0.0539,2150,2048,0,-92
0.0543,2150,2048,0,-92
0.0546,2150,2048,0,-92
0.0550,2150,2048,0,-92
0.0553,2150,2049,0,-84
0.0557,2150,2049,0,-84
0.0561,2150,2049,0,-84
0.0564,2150,2049,0,-92
0.0568,2150,2049,0,-92
0.0571,2150,2049,0,-92
0.0575,2150,2049,0,-92
0.0579,2150,2049,0,-92
0.0583,2150,2049,0,-92
0.0586,2150,2049,0,-92
0.0590,2150,2049,0,-92
0.0593,2150,2049,0,-96
0.0597,2150,2049,0,-96
0.0601,2166,2049,0,-104
0.0607,2166,2049,0,-104
0.0611,2166,2049,50,-104
0.0615,2166,2049,50,-104
0.0619,2166,2049,50,-104
0.0623,2166,2050,50,-96
0.0627,2166,2050,50,-96
0.0630,2166,2050,50,-96
0.0634,2166,2050,50,-104
0.0638,2166,2050,50,-104
0.0641,2166,2050,50,-104
0.0646,2166,2050,50,-104
0.0649,2166,2050,50,-104
0.0653,2166,2050,50,-104
0.0657,2166,2050,50,-104
0.0661,2166,2050,50,-104
0.0664,2166,2050,50,-112
0.0668,2166,2050,50,-112
0.0672,2166,2050,50,-112
0.0676,2166,2050,50,-112
0.0679,2166,2050,50,-112
0.0683,2166,2051,50,-104
0.0687,2166,2051,50,-104
0.0690,2166,2051,50,-104
0.0694,2166,2051,50,-112
0.0698,2166,2051,50,-112
0.0701,2181,2051,50,-112
0.0708,2181,2051,50,-112
0.0712,2181,2052,50,-112
0.0716,2181,2052,50,-112
0.0720,2181,2052,50,-112
0.0723,2181,2052,50,-112
0.0727,2181,2052,50,-112
0.0731,2181,2052,50,-112
0.0735,2181,2052,50,-112
0.0738,2181,2052,50,-112
0.0742,2181,2052,50,-120
0.0746,2181,2052,50,-120
0.0750,2181,2052,50,-120
0.0754,2181,2052,50,-120
0.0758,2181,2052,50,-120
0.0761,2181,2053,50,-120
0.0765,2181,2053,50,-120
0.0769,2181,2053,50,-120
0.0773,2181,2053,50,-120
0.0777,2181,2053,50,-120
0.0781,2181,2053,50,-120
0.0786,2181,2053,50,-120
0.0790,2181,2053,50,-120
0.0794,2181,2054,50,-116
0.0798,2181,2054,50,-116
0.0802,2193,2054,50,-116
0.0810,2193,2054,250,-124
0.0814,2193,2054,250,-124
0.0818,2193,2054,250,-124
0.0822,2193,2054,250,-124
0.0826,2193,2054,250,-124
0.0830,2193,2055,250,-116
0.0835,2193,2055,250,-116
0.0839,2193,2055,250,-116
0.0843,2193,2055,250,-124
0.0847,2193,2055,250,-124
0.0851,2193,2055,250,-124
0.0856,2193,2055,250,-124
0.0860,2193,2055,250,-132
0.0864,2193,2055,250,-132
0.0868,2193,2055,250,-132
0.0872,2193,2056,250,-124
0.0876,2193,2056,250,-124
0.0880,2193,2056,250,-132
0.0885,2193,2056,250,-132
0.0889,2193,2056,250,-132
0.0893,2193,2057,250,-124
0.0897,2193,2057,250,-124
0.0901,2204,2057,250,-132
0.0909,2204,2057,250,-132
0.0913,2204,2057,250,-132
0.0917,2204,2057,250,-132
0.0921,2204,2058,250,-132
0.0925,2204,2058,250,-132
0.0929,2204,2058,250,-132
0.0933,2204,2058,250,-132
0.0937,2204,2058,250,-132
0.0941,2204,2058,250,-132
0.0946,2204,2058,250,-132
0.0950,2204,2059,250,-132
0.0954,2204,2059,250,-132
0.0958,2204,2059,250,-132
0.0963,2204,2059,250,-132
0.0967,2204,2059,250,-132
0.0971,2204,2060,250,-132
0.0975,2204,2060,250,-132
0.0979,2204,2060,250,-132
0.0983,2204,2060,250,-132
0.0987,2204,2060,250,-132
0.0991,2204,2060,250,-140
0.0996,2204,2060,250,-140
0.1000,2204,2061,250,-132
0.1004,2212,2061,250,-132
0.1011,2212,2061,350,-140
0.1016,2212,2061,350,-140
0.1020,2212,2061,350,-148
0.1024,2212,2061,350,-148
0.1028,2212,2061,350,-148
0.1032,2212,2062,350,-140
0.1036,2212,2062,350,-140
0.1040,2212,2062,350,-148
0.1043,2212,2062,350,-148
0.1047,2212,2062,350,-148
0.1051,2212,2063,350,-140
0.1056,2212,2063,350,-140
0.1060,2212,2063,350,-148
0.1064,2212,2063,350,-148
0.1068,2212,2063,350,-148
0.1072,2212,2063,350,-148
0.1076,2212,2063,350,-148
0.1080,2212,2063,350,-156
0.1084,2212,2063,350,-156
0.1088,2212,2063,350,-156
0.1091,2212,2064,350,-148
0.1095,2212,2064,350,-148
0.1099,2212,2064,350,-156
0.1103,2217,2064,350,-156
0.1110,2217,2065,350,-148
0.1115,2217,2065,350,-148
0.1119,2217,2065,350,-148
0.1123,2217,2065,350,-156
0.1127,2217,2065,350,-156
0.1131,2217,2066,350,-156
0.1136,2217,2066,350,-156
0.1139,2217,2066,350,-156
0.1143,2217,2066,350,-156
0.1147,2217,2066,350,-156
0.1151,2217,2067,350,-156
0.1155,2217,2067,350,-156
0.1159,2217,2067,350,-156
0.1163,2217,2067,350,-156
0.1167,2217,2067,350,-156
0.1170,2217,2067,350,-164
0.1174,2217,2067,350,-164
0.1178,2217,2067,350,-164
0.1182,2217,2068,350,-164
0.1185,2217,2068,350,-164
0.1189,2217,2068,350,-164
0.1193,2217,2068,350,-164
0.1196,2217,2068,350,-164
0.1200,2217,2069,350,-164
0.1203,2219,2069,350,-164
0.1210,2219,2069,400,-164
0.1214,2219,2069,400,-164
0.1217,2219,2069,400,-164
0.1221,2219,2070,400,-164
0.1225,2219,2070,400,-164
0.1229,2219,2070,400,-172
0.1232,2219,2070,400,-172
0.1236,2219,2070,400,-172
0.1240,2219,2070,400,-172
0.1243,2219,2070,400,-172
0.1247,2219,2070,400,-172
0.1251,2219,2071,400,-172
0.1255,2219,2071,400,-172
0.1259,2219,2071,400,-180
0.1263,2219,2071,400,-180
0.1266,2219,2071,400,-180
0.1270,2219,2072,400,-172
0.1274,2219,2072,400,-172
0.1277,2219,2072,400,-172
0.1281,2219,2072,400,-180
0.1284,2219,2072,400,-180
0.1288,2219,2073,400,-180
0.1292,2219,2073,400,-180
0.1296,2219,2073,400,-180
0.1299,2219,2073,400,-180
0.1303,2219,2073,400,-180
0.1310,2219,2074,400,-180
0.1314,2219,2074,400,-180
0.1318,2219,2074,400,-188
0.1322,2219,2074,400,-188
0.1325,2219,2074,400,-188
0.1329,2219,2075,400,-180
0.1333,2219,2075,400,-180
0.1336,2219,2075,400,-180
0.1340,2219,2076,400,-180
0.1343,2219,2076,400,-180
0.1347,2219,2076,400,-180
0.1350,2219,2076,400,-188
0.1354,2219,2076,400,-188
0.1358,2219,2076,400,-188
0.1361,2219,2076,400,-188
0.1365,2219,2076,400,-188
0.1369,2219,2077,400,-188
0.1373,2219,2077,400,-188
0.1376,2219,2077,400,-188
0.1380,2219,2077,400,-196
0.1384,2219,2077,400,-196
0.1388,2219,2078,400,-188
0.1392,2219,2078,400,-188
0.1396,2219,2078,400,-188
0.1400,2219,2079,400,-188
0.1403,2217,2079,400,-188
0.1410,2217,2079,500,-196
0.1414,2217,2079,500,-196
0.1418,2217,2080,500,-196
0.1422,2217,2080,500,-196
0.1427,2217,2080,500,-196
0.1430,2217,2080,500,-196
0.1434,2217,2080,500,-196
0.1438,2217,2081,500,-196
0.1442,2217,2081,500,-196
0.1446,2217,2081,500,-196
0.1450,2217,2082,500,-196
0.1454,2217,2082,500,-196
0.1458,2217,2082,500,-204
0.1461,2217,2082,500,-204
0.1465,2217,2082,500,-204
0.1469,2217,2083,500,-196
0.1473,2217,2083,500,-196
0.1477,2217,2083,500,-196
0.1480,2217,2083,500,-204
0.1484,2217,2083,500,-204
0.1487,2217,2084,500,-204
0.1491,2217,2084,500,-204
0.1496,2217,2084,500,-204
0.1500,2217,2084,500,-212
0.1503,2211,2084,500,-212
0.1511,2211,2085,500,-204
0.1515,2211,2085,500,-204
0.1518,2211,2085,500,-212
0.1522,2211,2085,500,-212
0.1526,2211,2085,500,-212
0.1530,2211,2086,500,-212
0.1534,2211,2086,500,-212
0.1538,2211,2087,500,-212
0.1542,2211,2087,500,-212
0.1546,2211,2087,500,-212
0.1550,2211,2087,500,-220
0.1554,2211,2087,500,-220
0.1558,2211,2088,500,-212
0.1562,2211,2088,500,-212
0.1566,2211,2088,500,-212
0.1571,2211,2089,500,-212
0.1575,2211,2089,500,-212
0.1579,2211,2089,500,-220
0.1583,2211,2089,500,-220
0.1587,2211,2090,500,-224
0.1591,2211,2090,500,-224
0.1596,2211,2090,500,-224
0.1600,2211,2090,500,-232
0.1604,2203,2091,600,-224
0.1612,2203,2091,600,-224
0.1616,2203,2091,600,-224
0.1620,2203,2091,600,-232
0.1624,2203,2091,600,-232
0.1628,2203,2092,600,-232
0.1632,2203,2092,600,-232
0.1636,2203,2092,600,-232
0.1640,2203,2093,600,-232
0.1645,2203,2093,600,-232
0.1649,2203,2093,600,-240
0.1653,2203,2093,600,-240
0.1657,2203,2094,600,-240
0.1661,2203,2094,600,-240
0.1666,2203,2094,600,-240
0.1670,2203,2095,600,-232
0.1674,2203,2095,600,-232
0.1678,2203,2096,600,-232
0.1683,2203,2096,600,-232
0.1687,2203,2096,600,-240
0.1691,2203,2096,600,-240
0.1696,2203,2097,600,-240
0.1701,2193,2097,600,-240
0.1709,2193,2098,600,-240
0.1713,2193,2098,600,-240
0.1717,2193,2098,600,-248
0.1722,2193,2098,600,-248
0.1726,2193,2098,600,-248
0.1730,2193,2099,600,-248
0.1733,2193,2099,600,-248
0.1738,2193,2100,600,-240
0.1741,2193,2100,600,-240
0.1745,2193,2100,600,-240
0.1750,2193,2100,600,-248
0.1754,2193,2100,600,-248
0.1758,2193,2101,600,-248
0.1762,2193,2101,600,-248
0.1766,2193,2101,600,-248
0.1769,2193,2102,600,-248
0.1773,2193,2102,600,-248
0.1777,2193,2103,600,-248
0.1781,2193,2103,600,-248
0.1786,2193,2103,600,-248
0.1790,2193,2103,600,-256
0.1794,2193,2103,600,-256
0.1798,2193,2104,600,-248
0.1801,2180,2104,600,-248
0.1810,2180,2105,700,-248
0.1814,2180,2105,700,-248
0.1818,2180,2105,700,-256
0.1821,2180,2105,700,-256
0.1825,2180,2105,700,-256
0.1829,2180,2106,700,-256
0.1833,2180,2106,700,-256
0.1837,2180,2107,700,-256
0.1841,2180,2107,700,-256
0.1846,2180,2107,700,-248
0.1850,2180,2108,700,-248
0.1854,2180,2108,700,-248
0.1858,2180,2109,700,-248
0.1863,2180,2109,700,-248
0.1867,2180,2110,700,-248
0.1871,2180,2110,700,-248
0.1876,2180,2110,700,-256
0.1880,2180,2110,700,-256
0.1884,2180,2110,700,-256
0.1888,2180,2111,700,-256
0.1892,2180,2111,700,-256
0.1897,2180,2112,700,-248
0.1901,2166,2112,700,-248
0.1909,2166,2112,700,-256
0.1913,2166,2112,700,-256
0.1917,2166,2113,700,-256
0.1922,2166,2113,700,-256
0.1926,2166,2114,700,-256
0.1930,2166,2114,700,-256
0.1934,2166,2114,700,-256
0.1939,2166,2115,700,-248
0.1943,2166,2115,700,-248
0.1947,2166,2116,700,-248
0.1951,2166,2116,700,-248
0.1956,2166,2116,700,-256
0.1960,2166,2116,700,-256
0.1964,2166,2116,700,-256
0.1969,2166,2117,700,-256
0.1973,2166,2117,700,-256
0.1977,2166,2118,700,-248
0.1981,2166,2118,700,-248
0.1985,2166,2118,700,-248
0.1988,2166,2119,700,-228
0.1992,2166,2119,700,-228
0.1996,2166,2120,700,-228
0.2000,2149,2120,700,-228
0.2007,2149,2120,750,-236
0.2011,2149,2120,750,-236
0.2016,2149,2121,750,-228
0.2020,2149,2121,750,-228
0.2024,2149,2121,750,-228
0.2027,2149,2122,750,-228
0.2031,2149,2122,750,-228
0.2036,2149,2123,750,-228
0.2040,2149,2123,750,-228
0.2044,2149,2123,750,-228
0.2048,2149,2124,750,-220
0.2053,2149,2124,750,-220
0.2056,2149,2125,750,-220
0.2060,2149,2125,750,-220
0.2064,2149,2125,750,-220
0.2069,2149,2125,750,-228
0.2073,2149,2125,750,-228
0.2077,2149,2126,750,-228
0.2081,2149,2126,750,-228
0.2086,2149,2127,750,-220
0.2090,2149,2127,750,-220
0.2094,2149,2127,750,-220
0.2098,2149,2128,750,-220
0.2102,2131,2129,750,-220
0.2110,2131,2129,750,-220
0.2114,2131,2129,750,-220
0.2118,2131,2130,750,-212
0.2122,2131,2130,750,-212
0.2126,2131,2130,750,-220
0.2130,2131,2130,750,-220
0.2134,2131,2130,750,-220
0.2138,2131,2131,750,-220
0.2142,2131,2131,750,-220
0.2146,2131,2132,750,-212
0.2150,2131,2132,750,-212
0.2154,2131,2132,750,-212
0.2158,2131,2133,750,-212
0.2162,2131,2133,750,-212
0.2167,2131,2134,750,-204
0.2171,2131,2134,750,-204
0.2175,2131,2135,750,-204
0.2179,2131,2135,750,-204
0.2183,2131,2135,750,-204
0.2187,2131,2135,750,-208
0.2191,2131,2135,750,-208
0.2196,2131,2136,750,-200
0.2200,2131,2136,750,-200
0.2203,2111,2137,850,-200
0.2211,2111,2137,850,-200
0.2216,2111,2138,850,-200
0.2220,2111,2138,850,-200
0.2224,2111,2138,850,-200
0.2228,2111,2138,850,-200
0.2233,2111,2138,850,-200
0.2237,2111,2139,850,-200
0.2241,2111,2139,850,-200
0.2245,2111,2140,850,-192
0.2248,2111,2140,850,-192
0.2252,2111,2140,850,-192
0.2256,2111,2141,850,-192
0.2260,2111,2141,850,-192
0.2264,2111,2141,850,-200
0.2268,2111,2141,850,-200
0.2272,2111,2141,850,-200
0.2276,2111,2142,850,-192
0.2281,2111,2142,850,-192
0.2285,2111,2143,850,-192
0.2289,2111,2143,850,-192
0.2293,2111,2143,850,-192
0.2297,2111,2144,850,-184
0.2301,2091,2145,850,-184
0.2308,2091,2145,850,-184
0.2312,2091,2145,850,-184
0.2316,2091,2145,850,-184
0.2320,2091,2145,850,-184
0.2324,2091,2146,850,-184
0.2328,2091,2146,850,-184
0.2333,2091,2146,850,-184
0.2337,2091,2147,850,-184
0.2341,2091,2147,850,-184
0.2345,2091,2148,850,-176
0.2349,2091,2148,850,-176
0.2353,2091,2148,850,-176
0.2357,2091,2148,850,-184
0.2361,2091,2148,850,-184
0.2366,2091,2149,850,-176
0.2370,2091,2149,850,-176
0.2374,2091,2150,850,-176
0.2378,2091,2150,850,-176
0.2382,2091,2150,850,-176
0.2386,2091,2151,850,-156
0.2390,2091,2151,850,-156
0.2394,2091,2151,850,-164
0.2399,2091,2151,850,-164
0.2403,2070,2152,750,-156
0.2410,2070,2152,750,-156
0.2414,2070,2153,750,-156
0.2419,2070,2153,750,-156
0.2423,2070,2153,750,-156
0.2427,2070,2154,750,-148
0.2431,2070,2154,750,-148
0.2436,2070,2155,750,-148
0.2440,2070,2155,750,-148
0.2444,2070,2155,750,-148
0.2448,2070,2155,750,-148
0.2452,2070,2155,750,-148
0.2456,2070,2156,750,-148
0.2460,2070,2156,750,-148
0.2464,2070,2156,750,-148
0.2468,2070,2156,750,-148
0.2472,2070,2156,750,-148
0.2476,2070,2157,750,-148
0.2481,2070,2157,750,-148
0.2485,2070,2158,750,-140
0.2489,2070,2158,750,-140
0.2492,2070,2158,750,-140
0.2496,2070,2159,750,-140
0.2500,2049,2159,750,-140
0.2508,2049,2159,750,-140
0.2512,2049,2159,750,-140
0.2516,2049,2160,750,-140
0.2520,2049,2160,750,-140
0.2523,2049,2160,750,-140
0.2527,2049,2160,750,-140
0.2531,2049,2160,750,-140
0.2535,2049,2161,750,-140
0.2539,2049,2161,750,-140
0.2543,2049,2162,750,-132
0.2547,2049,2162,750,-132
0.2550,2049,2162,750,-132
0.2554,2049,2162,750,-140
0.2558,2049,2162,750,-140
0.2563,2049,2162,750,-140
0.2567,2049,2163,750,-132
0.2571,2049,2163,750,-132
0.2576,2049,2163,750,-132
0.2580,2049,2163,750,-132
0.2584,2049,2164,750,-140
0.2588,2049,2164,750,-140
0.2592,2049,2164,750,-140
0.2596,2049,2164,750,-140
0.2600,2049,2164,750,-140
0.2604,2027,2165,650,-140
0.2612,2027,2165,650,-140
0.2616,2027,2165,650,-140
0.2620,2027,2165,650,-140
0.2624,2027,2166,650,-132
0.2628,2027,2166,650,-132
0.2632,2027,2166,650,-132
0.2636,2027,2167,650,-132
0.2640,2027,2167,650,-132
0.2644,2027,2167,650,-132
0.2648,2027,2167,650,-132
0.2653,2027,2168,650,-132
0.2656,2027,2168,650,-132
0.2660,2027,2168,650,-132
0.2664,2027,2168,650,-132
0.2669,2027,2168,650,-132
0.2673,2027,2169,650,-124
0.2677,2027,2169,650,-124
0.2680,2027,2169,650,-124
0.2685,2027,2169,650,-132
0.2689,2027,2169,650,-132
0.2693,2027,2170,650,-124
0.2697,2027,2170,650,-124
0.2701,2006,2171,650,-124
0.2708,2006,2171,650,-124
0.2712,2006,2171,650,-124
0.2716,2006,2171,650,-124
0.2720,2006,2171,650,-124
0.2724,2006,2172,650,-116
0.2728,2006,2172,650,-116
0.2733,2006,2172,650,-124
0.2737,2006,2172,650,-124
0.2741,2006,2172,650,-124
0.2746,2006,2173,650,-116
0.2750,2006,2173,650,-116
0.2754,2006,2174,650,-108
0.2758,2006,2174,650,-108
0.2762,2006,2174,650,-108
0.2766,2006,2174,650,-116
0.2770,2006,2174,650,-116
0.2774,2006,2175,650,-108
0.2778,2006,2175,650,-108
0.2782,2006,2175,650,-104
0.2786,2006,2175,650,-104
0.2790,2006,2175,650,-104
0.2795,2006,2176,650,-104
0.2799,2006,2176,650,-104
0.2803,1986,2176,550,-104
0.2810,1986,2176,550,-104
0.2814,1986,2176,550,-104
0.2819,1986,2176,550,-104
0.2823,1986,2177,550,-104
0.2827,1986,2177,550,-104
0.2831,1986,2177,550,-104
0.2836,1986,2177,550,-104
0.2840,1986,2177,550,-104
0.2844,1986,2178,550,-96
0.2848,1986,2178,550,-96
0.2852,1986,2178,550,-104
0.2856,1986,2178,550,-104
0.2860,1986,2178,550,-104
0.2865,1986,2179,550,-96
0.2869,1986,2179,550,-96
0.2873,1986,2180,550,-88
0.2877,1986,2180,550,-88
0.2881,1986,2180,550,-88
0.2885,1986,2180,550,-88
0.2889,1986,2180,550,-88
0.2893,1986,2180,550,-96
0.2897,1986,2180,550,-96
0.2901,1967,2181,550,-88
0.2909,1967,2181,550,-88
0.2913,1967,2181,550,-88
0.2917,1967,2181,550,-88
0.2921,1967,2181,550,-88
0.2925,1967,2182,550,-80
0.2929,1967,2182,550,-80
0.2933,1967,2182,550,-88
0.2937,1967,2182,550,-88
0.2941,1967,2183,550,-80
0.2946,1967,2183,550,-80
0.2950,1967,2183,550,-80
0.2954,1967,2183,550,-80
0.2958,1967,2183,550,-80
0.2962,1967,2183,550,-80
0.2966,1967,2183,550,-80
0.2970,1967,2183,550,-80
0.2974,1967,2184,550,-80
0.2978,1967,2184,550,-80
0.2982,1967,2184,550,-84
0.2986,1967,2184,550,-84
0.2990,1967,2184,550,-84
0.2994,1967,2185,550,-76
0.2998,1967,2185,550,-76
0.3002,1948,2185,450,-76
0.3010,1948,2185,450,-76
0.3014,1948,2185,450,-84
0.3018,1948,2185,450,-84
0.3022,1948,2186,450,-76
0.3026,1948,2186,450,-76
0.3031,1948,2186,450,-76
0.3035,1948,2186,450,-76
0.3039,1948,2186,450,-76
0.3043,1948,2186,450,-76
0.3047,1948,2186,450,-76
0.3051,1948,2187,450,-68
0.3056,1948,2187,450,-68
0.3060,1948,2187,450,-68
0.3064,1948,2187,450,-76
0.3068,1948,2187,450,-76
0.3072,1948,2187,450,-76
0.3076,1948,2187,450,-76
0.3080,1948,2187,450,-76
0.3084,1948,2188,450,-68
0.3088,1948,2188,450,-68
0.3092,1948,2188,450,-68
0.3096,1948,2188,450,-68
0.3100,1932,2188,450,-68
0.3108,1932,2188,450,-68
0.3112,1932,2189,450,-60
0.3116,1932,2189,450,-60
0.3120,1932,2189,450,-60
0.3124,1932,2189,450,-68
0.3128,1932,2189,450,-68
0.3133,1932,2189,450,-68
0.3137,1932,2189,450,-68
0.3141,1932,2189,450,-68
0.3145,1932,2189,450,-68
0.3149,1932,2189,450,-68
0.3153,1932,2190,450,-60
0.3157,1932,2190,450,-60
0.3161,1932,2190,450,-60
0.3166,1932,2190,450,-60
0.3170,1932,2190,450,-60
0.3174,1932,2190,450,-60
0.3179,1932,2190,450,-60
0.3183,1932,2191,450,-48
0.3187,1932,2191,450,-48
0.3191,1932,2191,450,-56
0.3196,1932,2191,450,-56
0.3200,1917,2191,300,-56
0.3208,1917,2191,300,-56
0.3213,1917,2192,300,-48
0.3217,1917,2192,300,-48
0.3221,1917,2192,300,-48
0.3226,1917,2192,300,-48
0.3230,1917,2192,300,-48
0.3234,1917,2192,300,-48
0.3239,1917,2192,300,-48
0.3243,1917,2193,300,-40
0.3247,1917,2193,300,-40
0.3251,1917,2193,300,-40
0.3256,1917,2193,300,-40
0.3260,1917,2193,300,-40
0.3264,1917,2193,300,-40
0.3268,1917,2193,300,-40
0.3273,1917,2193,300,-40
0.3277,1917,2193,300,-40
0.3281,1917,2194,300,-32
0.3286,1917,2194,300,-32
0.3290,1917,2194,300,-40
0.3294,1917,2194,300,-40
0.3299,1917,2194,300,-40
0.3303,1905,2194,300,-40
0.3311,1905,2195,300,-32
0.3316,1905,2195,300,-32
0.3320,1905,2195,300,-32
0.3324,1905,2195,300,-32
0.3329,1905,2195,300,-32
0.3333,1905,2195,300,-32
0.3337,1905,2195,300,-32
0.3341,1905,2195,300,-32
0.3346,1905,2195,300,-32
0.3350,1905,2195,300,-32
0.3354,1905,2195,300,-32
0.3358,1905,2195,300,-32
0.3363,1905,2196,300,-24
0.3367,1905,2196,300,-24
0.3371,1905,2196,300,-24
0.3376,1905,2196,300,-24
0.3380,1905,2196,300,-28
0.3384,1905,2196,300,-28
0.3389,1905,2196,300,-28
0.3393,1905,2196,300,-28
0.3397,1905,2196,300,-28
0.3401,1894,2196,250,-20
0.3410,1894,2196,250,-20
0.3414,1894,2196,250,-20
0.3419,1894,2196,250,-20
0.3423,1894,2197,250,20
0.3427,1894,2197,250,20
0.3432,1894,2197,250,20
0.3436,1894,2197,250,20
0.3440,1894,2197,250,20
0.3445,1894,2197,250,20
0.3449,1894,2197,250,20
0.3453,1894,2197,250,20
0.3457,1894,2197,250,20
0.3462,1894,2197,250,20
0.3466,1894,2197,250,20
0.3470,1894,2197,250,20
0.3474,1894,2197,250,20
0.3479,1894,2197,250,20
0.3483,1894,2197,250,20
0.3487,1894,2197,250,20
0.3491,1894,2198,250,28
0.3495,1894,2198,250,28
0.3499,1894,2198,250,28
0.3504,1886,2198,250,28
0.3512,1886,2198,250,28
0.3516,1886,2198,250,28
0.3520,1886,2198,250,28
0.3525,1886,2198,250,28
0.3529,1886,2198,250,28
0.3533,1886,2198,250,28
0.3538,1886,2198,250,28
0.3542,1886,2198,250,28
0.3546,1886,2198,250,28
0.3550,1886,2198,250,28
0.3555,1886,2198,250,28
0.3559,1886,2198,250,28
0.3563,1886,2198,250,28
0.3567,1886,2198,250,28
0.3571,1886,2198,250,28
0.3576,1886,2198,250,28
0.3580,1886,2198,250,28
0.3584,1886,2198,250,28
0.3588,1886,2198,250,28
0.3593,1886,2198,250,28
0.3597,1886,2198,250,28
0.3602,1881,2198,100,28
0.3610,1881,2198,100,28
0.3614,1881,2198,100,28
0.3619,1881,2199,100,36
0.3623,1881,2199,100,36
0.3627,1881,2199,100,36
0.3631,1881,2199,100,44
0.3636,1881,2199,100,44
0.3640,1881,2199,100,44
0.3644,1881,2199,100,44
0.3649,1881,2199,100,44
0.3653,1881,2199,100,44
0.3657,1881,2199,100,44
0.3661,1881,2199,100,44
0.3666,1881,2199,100,44
0.3670,1881,2199,100,44
0.3675,1881,2199,100,44
